after_treatment,text
老公 华为 苹果 手机 都 这家 买 已经 买 好几套 手机 手机 正品 拿到 手 试用 几天 手机 反应 快,老公的华为我的苹果手机都是在这家买已经买了好几套手机。手机是正品。拿到手试用了几天手机反应快。
手机 收到 好 正品 特别 专员 海宝 亲切 服务态度 好,手机收到，很好正品，特别是专员海宝很亲切，服务态度很好。
拍照 效果 满足 需要 显示 效果 很漂亮 喜欢 电池 续航 之前 我用 苹果 手机电池 更 耐用 运行 速度 很快 通信 音质 好,拍照效果：满足了我的需要 显示效果：很漂亮我喜欢 电池续航：比之前我用的苹果手机电池更耐用 运行速度：很快 通信音质：好
刚 拿到 安卓转 苹果 操作 好 费劲 体验 看看 再 评价,刚拿到，安卓转苹果，操作好费劲啊。体验看看再来评价
钢化 膜 打开 样子 中间 已经 折断,这个钢化膜一打开就是这样子，中间已经被折断了
手机 收到 满意,手机收到了，很满意！
还 不错,还不错
服务 不错 手机 行,服务不错，手机也行
宝贝 非常 好 非常 喜欢 绝对 正品,宝贝非常好，也非常喜欢，绝对的正品。
服务站 工作人员 太 冷漠 感觉 开个 快递 站 天 没有 一点 好 服务态度 从家淋 中雨 开 电瓶车 去 快递 最后 还 故意 不理 说 几遍 才 快 递给 这种 人 不 应该 干 上司 压根 没人管,服务站的工作人员太冷漠了，自己感觉给开个快递站自己就是天，没有一点好的服务态度，从家淋中雨开电瓶车去拿快递，最后她还故意不理我，我说了几遍才把快递给我，这种人就不应该干这个，就不怕上司，压根就没人管吧！
拍照 效果 显示 效果 差 电池 续航 好 运行 速度 快 通信 音质 好 特色 信号 不行,拍照效果：一般 显示效果：差 电池续航：好 运行速度：快 通信音质：好 其他特色：信号不行
查 下 正品 不错 卖家 送 钢化 膜 不行 拍照 效果 满意 运行 速度 非常 快 电池 续航 刚 到手 还 不 知道 续航,查了下是正品，不错，就是卖家送的钢化膜不行 拍照效果：满意 运行速度：非常快 电池续航：刚到手，还不知道续航怎么样
手机 收到 正品,手机收到 是正品
还行 客服 挺 好 问 再 问题 不会 烦,还行吧！客服挺好的，问再多问题也不会烦。
怀着 忐忑 心情 去 验货 正品 全新 机 大家 放心 买,怀着忐忑的心情去验货了，正品，全新机。大家可以放心买😀😀
第二次 购买 谱 正品 广角 摄像头 真的 很棒,第二次购买了，靠谱，正品，广角摄像头真的很棒
还 正品 电池 不 耐用,还可以是正品。就是电池不耐用
好 放心 真品 之前 买,很好，用了放心了，真品，和之前买的一样。
